軸,代碼,顯示名稱,一句話定義,具體例子,邊界說明
invocation,human_chat,真人輸入,內容是這個人針對這一次情況寫的。,「這段地址要怎麼寫」；把 shell 執行結果貼回去讓 agent 繼續；在前一則回應裡框選一段加註解、送回時只打一個「好」（外框是工具包的，但框選哪一段、要不要採納是人的決定）；自建 RAG 系統的提問；含「上一版畫錯了、這次要修正」這種只有看過上一版才寫得出來的判斷。,判準是**意圖的來源**，不是文字的形狀：這次呼叫的內容，是這個人針對這一次情況寫的，還是預先寫好、每次只換資料的？ **程式有沒有參與傳送不是重點**——把執行結果貼回去、RAG 自動附上檢索片段，內容都經過程式，但決定貼哪一段、這次要問什麼的是人。這與判定 <in-app-browser-context> 不算工具產生是同一個道理。
invocation,user_script,使用者的自動化流程,內容是預先寫好的模板，每次只換資料。,護理紀錄評分器、台股表徵審計、commit 合規審查器——外框完全沒動，只有 DATA 換。,"判準是**意圖的來源**，不是文字的形狀：這次呼叫的內容，是這個人針對這一次情況寫的，還是預先寫好、每次只換資料的？ 意圖在**設計腳本的那一刻**就固定了，這次呼叫只是套用。
★ 已知弱點：有人寫了模板但每次手動微調，那是真正的中間地帶，本軸判不準。標註時遇到請記下來；若筆數多，這一軸的可信度在報告裡要打折。"
invocation,tool_generated,AI 工具自己發出,AI 工具本身產生的請求，與使用者的意圖無關。,自動幫對話取標題、幫分支對話產生描述、執行工具前的安全審查、產生「你可能想問」的建議。,判準是**結構標記**不是內容：這些文字有固定的英文框架句。不要用 sha256 清單認——新版工具隨時會加，清單會過期。
invocation,pipeline_relay,流程中繼處理,自動化流程裡負責處理前一步輸出的環節。,一支後處理器把流程中經過的每一段文字都送去分類，外面包著固定的分類樹與 JSON 要求。,"與 user_script 的差別在**內容來源**：user_script 處理的是使用者自己的素材；pipeline_relay 處理的是**前一步的輸出**。
★ 內層主題不記，**僅限本值**。理由：那些內容不是使用者產生的、也不是他要的，只是流經他的原料；記了會讓同一份內容被計兩次，而且第二次記的是別人的資料。
**使用者採納、框選、貼回的內容，主題照記**——那是他選擇的，只是他沒有重打一遍。"
role,generate,產生新內容,從無到有寫出東西。,寫簡報逐字稿、設計誘答選項、產生簡報封面圖、直接輸出 SVG 畫科學插圖。,與 rewrite 的差別在**有沒有既有文本**：generate 只有規格與素材，rewrite 有現成文字要改。
role,extract,從文件抓出資料,把非結構化的文件變成結構化欄位。,把課綱 PDF 的能力指標抓成結構資料、把論文段落整理成標題／段落／清單。,與 summarize 的差別在**目標形狀**：extract 要欄位齊全且可逐欄比對；summarize 要壓縮後的敘述。
role,review,檢查與把關,對既有產出做判定，輸出通過與否或分數。,判定某句課綱原文有沒有授權填某欄位、替 AI 補寫的紀錄打分、審查 commit 是否合規。,與 label 的差別在**有沒有對錯**：review 判斷好壞或合規；label 只是歸類。
role,label,分類與貼標籤,把內容歸到既有的類別裡。,依固定分類樹判定一段文字屬於哪個主題並回傳 JSON。,與 review 的差別見上。
role,rewrite,改寫與潤飾,有既有文字，改變形式但保留內容。,把英文論文段落依既定準則翻成中文、把粗略需求改寫成完整可執行的指令。,翻譯歸這裡不另立一類。與 generate 的差別在有沒有既有文本。
role,summarize,摘要,把長內容壓縮成短敘述。,把三分鐘會議逐字稿整理成帶時間戳的重點清單。,與 extract 的差別見 extract。
role,qa,問答與諮詢,問一個問題、要一個答案或建議。,問某資料庫有沒有支持假說的資料集、問校園急救流程、附檢索片段問某模型的限制。,與 compute 的差別在**要不要真的算**：qa 要知識或判斷；compute 要執行結果。
role,compute,計算與程式執行,要求實際算出數值或執行程式。,算選擇權理論價格並畫成矩陣表、跑評估腳本並回報統計、指出程式為什麼答案錯。,程式除錯歸這裡不歸 review：使用者要的是可以動的程式，不是一份判定。
role,unknown,無法判斷（role）,看得出領域，但看不出這次呼叫要它做什麼。,「RF fast path 這個子章節，用實驗當 baseline 即可」——是論文寫作，但沒有前文看不出要它寫、要它改、還是要它評估。,**role 與 domain 各自可以是無法判斷**，不必整筆放棄。整筆的狀況與原因記在 status 欄。
role,not_applicable,不需判定,這筆請求本來就沒有「用途」可言，不必判 role。,把文字轉成向量、AI 工具自己產生的標題、流程中繼處理的外框。,"與 unknown 分開填，不可互相取代：unknown 是「該判但判不出來」，本值是「本來就不用判」。合併會讓 unknown 的計數混入非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。"
domain,clinical,醫療照護,與病人照護、病歷、臨床決策直接相關。,替 AI 補寫的護理紀錄打分、整理加護病房照護討論的會議重點。,判準是**內容涉及病人**，不是使用者的系所。生醫研究若不涉及具體病人歸 research。
domain,teaching,教學與課程,與課程設計、教材、評量、學生學習相關。,把課綱抓成出題約束、依關鍵字出習題並附解答、產生課程簡報逐字稿。,與 research 的差別在**對象是學生還是同儕**。
domain,software,程式與系統開發,寫產品或研究用的程式碼。,找出競賽程式為什麼答案錯、開發相機驅動、實作一個功能。,與 infrastructure 的差別：software 是**用寫程式解決問題**；infrastructure 是**讓流水線／工具本身跑起來、測試它、檢查它的產出**。
domain,infrastructure,系統維運與測試,維護、測試、部署系統本身，而不是用系統做事。,"只輸出 {""verdict"":""PASS""} 的煙霧測試（驗流水線的 JSON 解析路徑通不通）、把分類表匯入的執行結果貼回來覆核、commit 合規審查器。",與 software 的差別見上。加這一格是因為「維護系統本身」與「用系統做事」是不同活動——校方若想知道「AI 用在正事上還是用在調工具上」，這一格答得出來，塞進 general 答不出來。
domain,research,研究與分析,為了得到結論而做的資料處理、文獻處理與分析。,把論文段落清理成結構化元素、查基因表達資料集驗證假說、跑模型評估並診斷指標為何是零。,與 software 的差別：為了跑實驗而寫的分析腳本歸這裡；要交付或長期維護的系統歸 software。
domain,general,一般事務,上面五類都不是的日常或行政事務。,查機票價格、問地址格式、規劃社團表演。,"**不是垃圾桶**：只有內容清楚但不屬於前五類時才用。看不出在做什麼要用 unknown。
★ 已知弱點：本值混了兩種不均質的東西——**實用事務**（查機票、問地址、寫信）與**娛樂社群**（社群機器人的內容生成與狀態維護）。
備用條件：娛樂那類累積 **10 筆以上「且」涉及 2 組以上遮罩帳號** 才拆成兩個值並重標；任一條件不滿足則不拆，但報告中必須註明 general 的組成不均質。
帳號數這個條件是必要的：若 10 筆全來自同一組遮罩帳號，那描述的是**一個人的專案**而不是校內樣態，拆出來會讓一個人的興趣在分類表上看起來像一個使用類型。
（2026-08-26 進度：3 筆 / 2 組遮罩帳號——帳號條件已滿足，筆數未達。）
★「2 組以上遮罩帳號」這個條件擋得住**單人主導**，擋不住**單一小團體主導**：目前那 2 組同系、同學位、僅差一學年，很可能是同一個小圈子。若最後真的拆了，報告必須註明這一類集中在少數幾組同系帳號，不是校內普遍樣態。"
domain,unknown,無法判斷（domain）,看得出在做什麼，但看不出用在什麼事情上。,—,與 role 的 unknown 對稱，兩軸各自可判。
domain,not_applicable,不需判定,這筆請求本來就沒有「用途」可言，不必判 domain。,把文字轉成向量、AI 工具自己產生的標題、流程中繼處理的外框。,"與 unknown 分開填，不可互相取代：unknown 是「該判但判不出來」，本值是「本來就不用判」。合併會讓 unknown 的計數混入非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。"
status,decided,已判定,role 與 domain 都判出來了。,—,兩軸皆非 unknown 時填這個。
